lobster_id,temp,SMR,MMR,AAS,FAS,avg_eaten
N18,21,0.70910121,4.503234524,3.794133314,6.350623099,23.33333333
L4,21,0.551134877,3.754457737,3.20332286,6.812230357,11
N14,21,0.58242053,5.643304044,5.060883515,9.689397535,21.33333333
L3,21,1.083969919,4.662231239,3.578261319,4.30107068,9
N19,21,0.574992196,4.852340556,4.277348359,8.438967673,14.33333333
N15,21,0.733361438,4.375164601,3.641803162,5.965904902,12
IV11,11,0.317630257,2.692003675,2.374373417,8.475274674,0
IV13,11,0.22906439,1.961705609,1.732641219,8.637309282,0.666666667
MM02,11,0.282756934,2.14126273,1.858505796,7.572803616,1.333333333
IV10,11,0.187085453,3.406361638,3.219276185,18.20751739,9.333333333
IV12,11,0.112146148,2.995652715,2.883506567,26.71204282,0.666666667
IV14,11,0.159039495,2.724266449,2.565226953,17.12949631,0.333333333
GP07,26,0.802060616,3.374564918,2.572504301,4.207368932,23.66666667
IV19,26,1.310412772,4.231889306,2.921476534,3.22943228,14
GP01,26,0.78033318,4.766024427,3.985691247,6.10767881,25.33333333
IV18,16,0.502969852,3.56448835,3.061518498,7.08688272,10.25
GP03,16,0.247517435,2.55644402,2.308926585,10.32833916,31.33333333
IV17,16,0.298222424,3.969557837,3.671335413,13.31072889,11
GP06,16,0.390298968,3.50376106,3.113462092,8.977120999,15.33333333
GP05,16,0.410419537,3.415012414,3.004592878,8.320784243,7.333333333
IV16,16,0.384490116,5.196602191,4.812112075,13.51556769,9.666666667
IV15,26,0.809848486,4.564627653,3.754779167,5.636397094,15.66666667